"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Trial.Type","JOL.RT","Response.JOL","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"59860c81d75d360001b0bd95",1,"Large vs small A","ALLOW","TUCK","Study1","U","JOL_Small",7953,"1",9694,"",0,0
"5ac69733a3ba7a0001b4b75b",1,"Large vs small A","ALLOW","TUCK","Study1","U","JOL_Large",2084,"0",1789,"",0,0
"5d470786da637a00014ba26f",1,"Large vs small A","ALLOW","TUCK","Study1","U","JOL_Small",9297,"0",13165,"WOULD",22.222222222222,0
"5ed225b7b49d48185e9e56ae",1,"Large vs small A","ALLOW","TUCK","Study1","U","JOL_Small",1560,"44",1691,"not",28.571428571429,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","ALLOW","TUCK","Study1","U","JOL_Small",3908,"0",4422,"deny",0,0
"5efb2af24cee7804cac1249c",1,"Large vs small A","ALLOW","TUCK","Study1","U","JOL_Small",3122,"10",1020,"",0,0
"5f0c33a605481902af533527",1,"Large vs small A","ALLOW","TUCK","Study1","U","JOL_Small",6934,"0",8637,"Permit",20,0
"5f0c7dcc324f8b0ca60380f6",1,"Large vs small A","ALLOW","TUCK","Study1","U","JOL_Small",5557,"0",2210,"",0,0
"5f112fca114b6a31c9698a4b",1,"Large vs small A","ALLOW","TUCK","Study1","U","JOL_Small",3559,"10",17446,"Let",28.571428571429,0
"59860c81d75d360001b0bd95",1,"Large vs small A","ARCHITECTURE","DESIGN","Study1","S","JOL_Large",10810,"70",4376,"design",100,100
"5ac69733a3ba7a0001b4b75b",1,"Large vs small A","ARCHITECTURE","DESIGN","Study1","S","JOL_Large",5230,"20",2228,"design",100,100
"5d470786da637a00014ba26f",1,"Large vs small A","ARCHITECTURE","DESIGN","Study1","S","JOL_Large",19621,"35",10694,"DESIGN",100,100
"5ed225b7b49d48185e9e56ae",1,"Large vs small A","ARCHITECTURE","DESIGN","Study1","S","JOL_Small",2165,"30",2832,"land",20,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","ARCHITECTURE","DESIGN","Study1","S","JOL_Large",10622,"1",10951,"building",28.571428571429,0
"5efb2af24cee7804cac1249c",1,"Large vs small A","ARCHITECTURE","DESIGN","Study1","S","JOL_Small",2382,"80",3436,"design",100,100
"5f0c33a605481902af533527",1,"Large vs small A","ARCHITECTURE","DESIGN","Study1","S","JOL_Small",4198,"7",5956,"Picture",15.384615384615,0
"5f0c7dcc324f8b0ca60380f6",1,"Large vs small A","ARCHITECTURE","DESIGN","Study1","S","JOL_Large",4775,"100",5379,"Drawing",46.153846153846,0
"5f112fca114b6a31c9698a4b",1,"Large vs small A","ARCHITECTURE","DESIGN","Study1","S","JOL_Small",3516,"100",3811,"Design",100,100
"59860c81d75d360001b0bd95",1,"Large vs small A","ART","LION","Study1","U","JOL_Large",7257,"1",4098,"",0,0
"5ac69733a3ba7a0001b4b75b",1,"Large vs small A","ART","LION","Study1","U","JOL_Small",2525,"0",2778,"",0,0
"5d470786da637a00014ba26f",1,"Large vs small A","ART","LION","Study1","U","JOL_Small",10270,"15",17285,"DEALER",20,0
"5ed225b7b49d48185e9e56ae",1,"Large vs small A","ART","LION","Study1","U","JOL_Large",1646,"11",2749,"theatre",0,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","ART","LION","Study1","U","JOL_Small",7197,"33",9073,"school",20,0
"5efb2af24cee7804cac1249c",1,"Large vs small A","ART","LION","Study1","U","JOL_Small",2498,"45",4797,"paint",44.444444444444,0
"5f0c33a605481902af533527",1,"Large vs small A","ART","LION","Study1","U","JOL_Large",30618,"3",10748,"Design",40,0
"5f0c7dcc324f8b0ca60380f6",1,"Large vs small A","ART","LION","Study1","U","JOL_Large",3389,"0",9087,"Painting ",33.333333333333,0
"5f112fca114b6a31c9698a4b",1,"Large vs small A","ART","LION","Study1","U","JOL_Small",4049,"20",6514,"Design",40,0
"59860c81d75d360001b0bd95",1,"Large vs small A","ARTERY","BRONZE","Study1","U","JOL_Large",9321,"2",8007,"",0,0
"5ac69733a3ba7a0001b4b75b",1,"Large vs small A","ARTERY","BRONZE","Study1","U","JOL_Small",5516,"10",7239,"bronze",100,100
"5d470786da637a00014ba26f",1,"Large vs small A","ARTERY","BRONZE","Study1","U","JOL_Small",11602,"0",10646,"HEART",18.181818181818,0
"5ed225b7b49d48185e9e56ae",1,"Large vs small A","ARTERY","BRONZE","Study1","U","JOL_Small",2173,"11",51009,"heart",18.181818181818,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","ARTERY","BRONZE","Study1","U","JOL_Large",11261,"32",10701,"vein",20,0
"5efb2af24cee7804cac1249c",1,"Large vs small A","ARTERY","BRONZE","Study1","U","JOL_Small",3949,"10",1823,"",0,0
"5f0c33a605481902af533527",1,"Large vs small A","ARTERY","BRONZE","Study1","U","JOL_Small",6114,"0",12736,"Arrow",36.363636363636,0
"5f0c7dcc324f8b0ca60380f6",1,"Large vs small A","ARTERY","BRONZE","Study1","U","JOL_Large",15178,"0",13046,"Vein",20,0
"5f112fca114b6a31c9698a4b",1,"Large vs small A","ARTERY","BRONZE","Study1","U","JOL_Large",3129,"10",2696,"",0,0
"59860c81d75d360001b0bd95",1,"Large vs small A","BABY","CHILD","Study1","S","JOL_Large",5139,"100",5268,"child",100,100
"5ac69733a3ba7a0001b4b75b",1,"Large vs small A","BABY","CHILD","Study1","S","JOL_Large",2177,"30",2897,"infant",18.181818181818,0
"5d470786da637a00014ba26f",1,"Large vs small A","BABY","CHILD","Study1","S","JOL_Small",16262,"40",7373,"CHILD",100,100
"5ed225b7b49d48185e9e56ae",1,"Large vs small A","BABY","CHILD","Study1","S","JOL_Small",2954,"89",1855,"talk",22.222222222222,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","BABY","CHILD","Study1","S","JOL_Large",3125,"23",10507,"child",100,100
"5efb2af24cee7804cac1249c",1,"Large vs small A","BABY","CHILD","Study1","S","JOL_Small",3043,"90",2689,"child",100,100
"5f0c33a605481902af533527",1,"Large vs small A","BABY","CHILD","Study1","S","JOL_Large",6351,"64",9469,"Child",100,100
"5f0c7dcc324f8b0ca60380f6",1,"Large vs small A","BABY","CHILD","Study1","S","JOL_Small",4767,"100",3723,"Child",100,100
"5f112fca114b6a31c9698a4b",1,"Large vs small A","BABY","CHILD","Study1","S","JOL_Large",3397,"100",7840,"Child ",100,100
"59860c81d75d360001b0bd95",1,"Large vs small A","BALL","RACKET","Study1","B","JOL_Small",4175,"100",3783,"bat",44.444444444444,0
"5ac69733a3ba7a0001b4b75b",1,"Large vs small A","BALL","RACKET","Study1","B","JOL_Small",4077,"40",4509,"",0,0
"5d470786da637a00014ba26f",1,"Large vs small A","BALL","RACKET","Study1","B","JOL_Small",10869,"30",3873,"RACKET",100,100
"5ed225b7b49d48185e9e56ae",1,"Large vs small A","BALL","RACKET","Study1","B","JOL_Large",1433,"50",2783,"basket",66.666666666667,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","BALL","RACKET","Study1","B","JOL_Small",19404,"30",33690,"park",40,0
"5efb2af24cee7804cac1249c",1,"Large vs small A","BALL","RACKET","Study1","B","JOL_Large",4641,"30",2859,"",0,0
"5f0c33a605481902af533527",1,"Large vs small A","BALL","RACKET","Study1","B","JOL_Small",6314,"13",20591,"Games",36.363636363636,0
"5f0c7dcc324f8b0ca60380f6",1,"Large vs small A","BALL","RACKET","Study1","B","JOL_Small",52650,"100",7670,"",0,0
"5f112fca114b6a31c9698a4b",1,"Large vs small A","BALL","RACKET","Study1","B","JOL_Small",3001,"10",2072,"",0,0
"59860c81d75d360001b0bd95",1,"Large vs small A","BATHROOM","TOILET","Study1","S","JOL_Large",6348,"90",2945,"toilet",100,100
"5ac69733a3ba7a0001b4b75b",1,"Large vs small A","BATHROOM","TOILET","Study1","S","JOL_Large",2007,"100",2434,"toilet",100,100
"5d470786da637a00014ba26f",1,"Large vs small A","BATHROOM","TOILET","Study1","S","JOL_Small",10640,"55",4749,"TOILET",100,100
"5ed225b7b49d48185e9e56ae",1,"Large vs small A","BATHROOM","TOILET","Study1","S","JOL_Small",14544,"99",3281,"toilet",100,100
"5ede2531cff15e047a4e356e",1,"Large vs small A","BATHROOM","TOILET","Study1","S","JOL_Small",4501,"70",5028,"key",22.222222222222,0
"5efb2af24cee7804cac1249c",1,"Large vs small A","BATHROOM","TOILET","Study1","S","JOL_Large",8563,"100",2962,"toilet",100,100
"5f0c33a605481902af533527",1,"Large vs small A","BATHROOM","TOILET","Study1","S","JOL_Large",3715,"70",8151,"Toilet",100,100
