"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Trial.Type","JOL.RT","Response.JOL","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"w968356_cj",5,"Highlight vs normal A","ALLOW","TUCK","Study1","U","JOL",12014,67,2108,"continue",16.666666666667,0
"w968356_cj",5,"Highlight vs normal A","ARCHITECTURE","DESIGN","Study1","S","JOL",1544,4,2963,"land",20,0
"w968356_cj",5,"Highlight vs normal A","ART","LION","Study1","U","JOL_H",10750,35,2527,"piece",22.222222222222,0
"w968356_cj",5,"Highlight vs normal A","ARTERY","BRONZE","Study1","U","JOL_H",1853,98,3991,"clog",20,0
"w968356_cj",5,"Highlight vs normal A","BABY","CHILD","Study1","S","JOL_H",1530,87,6234,"back",22.222222222222,0
"w968356_cj",5,"Highlight vs normal A","BALL","RACKET","Study1","B","JOL_H",2883,56,6937,"game ",40,0
"w968356_cj",5,"Highlight vs normal A","BATHROOM","TOILET","Study1","S","JOL",2259,7,2406,"sink",20,0
"w968356_cj",5,"Highlight vs normal A","BEGIN","END","Study1","S","JOL",1450,7,1960,"end",100,100
"w968356_cj",5,"Highlight vs normal A","BITTER","COLD","Study1","F","JOL",995,23,24503,"sweet",0,0
"w968356_cj",5,"Highlight vs normal A","BLOW","WIND","Study1","S","JOL_H",1660,65,2365,"smoke",0,0
"w968356_cj",5,"Highlight vs normal A","BRIDGE","WATER","Study1","F","JOL",1090,30,1568,"water",100,100
"w968356_cj",5,"Highlight vs normal A","BUG","WASP","Study1","B","JOL",3407,87,2079,"removal",18.181818181818,0
"w968356_cj",5,"Highlight vs normal A","CASH","WOULD","Study1","U","JOL_H",1949,98,1962,"coin",22.222222222222,0
"w968356_cj",5,"Highlight vs normal A","CHISEL","HAMMER","Study1","F","JOL",996,88,4381,"make",40,0
"w968356_cj",5,"Highlight vs normal A","CIRCLE","ROUND","Study1","S","JOL",2222,98,2027,"step",0,0
"w968356_cj",5,"Highlight vs normal A","CLOTHES","ATTIRE","Study1","B","JOL",7041,98,3421,"laundry",30.769230769231,0
"w968356_cj",5,"Highlight vs normal A","CREDIT","CARD","Study1","F","JOL",1103,77,2024,"score",44.444444444444,0
"w968356_cj",5,"Highlight vs normal A","DARK","CAVE","Study1","B","JOL",2111,87,2176,"bright",0,0
