"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Trial.Type","JOL.RT","Response.JOL","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"5ede2531cff15e047a4e356e",1,"Large vs small A","ALLOW","TUCK","Study1","U","JOL_Small",3908,0,4422,"deny",0,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","ARCHITECTURE","DESIGN","Study1","S","JOL_Large",10622,1,10951,"building",28.571428571429,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","ART","LION","Study1","U","JOL_Small",7197,33,9073,"school",20,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","ARTERY","BRONZE","Study1","U","JOL_Large",11261,32,10701,"vein",20,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","BABY","CHILD","Study1","S","JOL_Large",3125,23,10507,"child",100,100
"5ede2531cff15e047a4e356e",1,"Large vs small A","BALL","RACKET","Study1","B","JOL_Small",19404,30,33690,"park",40,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","BATHROOM","TOILET","Study1","S","JOL_Small",4501,70,5028,"key",22.222222222222,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","BEGIN","END","Study1","S","JOL_Large",6106,64,5278,"start",0,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","BITTER","COLD","Study1","F","JOL_Small",5874,56,10732,"sweet",0,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","BLOW","WIND","Study1","S","JOL_Large",3133,43,6142,"wind",100,100
"5ede2531cff15e047a4e356e",1,"Large vs small A","BRIDGE","WATER","Study1","F","JOL_Large",6393,50,12648,"water",100,100
"5ede2531cff15e047a4e356e",1,"Large vs small A","BUG","WASP","Study1","B","JOL_Small",6249,6,12432,"insect",20,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","CASH","WOULD","Study1","U","JOL_Large",18288,21,3419,"out",50,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","CHISEL","HAMMER","Study1","F","JOL_Large",8793,60,4663,"tool",0,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","CIRCLE","ROUND","Study1","S","JOL_Large",4363,44,5095,"round",100,100
"5ede2531cff15e047a4e356e",1,"Large vs small A","CLOTHES","ATTIRE","Study1","B","JOL_Large",6683,34,9371,"jumper",16.666666666667,0
"5ede2531cff15e047a4e356e",1,"Large vs small A","CREDIT","CARD","Study1","F","JOL_Large",4967,99,7426,"card",100,100
"5ede2531cff15e047a4e356e",1,"Large vs small A","DARK","CAVE","Study1","B","JOL_Large",4748,34,7265,"night",0,0
