SMALL FONT PEOPLE,ID,Gender,Age,Education,Race,Fluent,AgeEnglish,Country,consent
5789f5c6fa4465000113ecb2,gfq8jq2juq,Female,31,"Some College, no degree",White,Yes,0,United Kingdom,on
58c1886c3977190001f53ec8,iz60bxpv1h,Female,48,"Some College, no degree",White,Yes,0,United Kingdom,on
59860c81d75d360001b0bd95,i1ok1k9p1i,Female,26,Associates degree,White,Yes,0,Scotland ,on
5ac69733a3ba7a0001b4b75b,rmtb5egn5h,Female,73,High School Graduate,White,Yes,0,united kingdom,on
5b82e33f184f45000155f0ba,6azx2gjy1b,Male,55,High School Graduate,White,Yes,0,England,on
5bd60bf95f437a0001a2c6c6,ua9nsnnt81,Female,28,"Some College, no degree",White,Yes,0,United Kingdom,on
5bd752879f75f90001d1d2d4,5zepjw7uoq,Female,27,"Some College, no degree",Other/unknown,Yes,0,Canada,on
5be1c6db93cab6000123baf9,54ryqpniyi,Male,21,Bachelors degree,White,Yes,0,UK,on
5be8bde6598a35000108e15f,8wcbsfhkzv,Male,21,Bachelors degree,White,Yes,0,UK,on
5c2b9ce5b337310001996c05,yjnanmiqvc,Male,63,Some High School,White,Yes,0,United Kingdom,on
5c3a7c75a882e900016ba262,605becpood,Male,33,High School Graduate,White,Yes,0,England,on
5c5cad3e4ee81200018eafe2,jjfef1y7ej,Female,26,"Some College, no degree",White,Yes,0,England,on
5d470786da637a00014ba26f,eh45c6pxxe,Female,67,"Some College, no degree",White,Yes,0,Scotland,on
5d6599014b0dbf0019537cb8,7j16lg54ru,Male,65,High School Graduate,White,Yes,0,United Kingdom,on
5d86c09df681a1001a8dddc8,6hehjxz0wm,Female,20,"Some College, no degree",White,Yes,0,England,on
5d9c8a8033801b00145a6803,ndqs8t3pbi,Female,19,"Some College, no degree",White,Yes,0,United Kingdom,on
5db0cfa9c2978c001923d74d,c5o1s0q2dp,Male,33,High School Graduate,White,Yes,0,Canada,on
5dbb1f4a55b86212a3d2ff9f,kxyiit6cxo,Female,20,"Some College, no degree",White,Yes,0,United Kingdom,on
5e201890d6b7e131dd2bb2dd,dp7241glv5,Female,19,"Some College, no degree",Black,Yes,0,saint lucia ,on
5e7c24a595fdc12680699da8,spco3rlci3,Female,30,"Some College, no degree",White,Yes,0,England,on
5e948aa20c949c2fff20eabf,9je4ppo2ac,Male,18,High School Graduate,Asian/Pacific Islander,Yes,0,America,on
5ead5e32f32e3b3dd328e5ef,ume89pywm0,Female,69,High School Graduate,White,Yes,0,United Kingdom,on
5eb2695f1745801c7c919e35,j2nedkgf9r,Female,19,High School Graduate,White,Yes,0,United Kingdom,on
5ebd3dae8c3ef3000b5b1b2d,kdo9fj1viu,Female,30,"Some College, no degree",White,Yes,0,New Zealand,on
5ec6f09028a33512eebf7bf6,9dhqqc4gtr,Female,19,High School Graduate,Black,Yes,0,United Kingdom,on
5ed225b7b49d48185e9e56ae,ycisiofeeo,Male,34,High School Graduate,Other/unknown,Yes,0,England,on
5ed8162f9883863100f36190,h9smzzbumq,Female,55,High School Graduate,White,Yes,0,United Kingdom ,on
5ede2531cff15e047a4e356e,emh2z93a0i,Male,34,"Some College, no degree",White,Yes,0,Canada,on
5ee44df5a493ae14ce39c8de,6w2h5i431x,Female,44,"Some College, no degree",White,Yes,0,UK,on
5ee65bebdde4ef3c586e6554,w62o4v94kd,Female,21,"Some College, no degree",Asian/Pacific Islander,Yes,4,United Kingdom,on
5ee67cb8822fce3f8330af0f,1xwvriyfd8,Male,23,"Some College, no degree",White,Yes,0,UK,on
5eeede4c6ee5493a05b26967,20h5pcvkzp,Female,26,"Some College, no degree",White,Yes,0,England,on
5ef695acd994c4392445cce9,v9u0v05nmz,Male,62,High School Graduate,White,Yes,0,ENGLAND,on
5efb2af24cee7804cac1249c,h5zn940js3,Female,21,Bachelors degree,White,Yes,0,Scotland,on
5f0c33a605481902af533527,h5zn940js3,Female,21,Bachelors degree,White,Yes,0,Scotland,on
5f0c7dcc324f8b0ca60380f6,3buwlxbunv,Female,20,High School Graduate,White,Yes,0,United Kingdom,on
5f0f472c3d324f0d536ece57,2y44mpm192,Female,19,"Some College, no degree",White,Yes,0,Canada,on
5f1052ee7e2e472c3723c782,1vapy4epr6,Female,20,"Some College, no degree",Asian/Pacific Islander,Yes,0,England,on
5f105e08aeef1d2db59c00ef@email.prolific.co,eo1awsrj9j,Female,18,"Some College, no degree",White,Yes,0,United Kingdom,on
5f112fca114b6a31c9698a4b,h96zozg6x9,Male,40,High School Graduate,White,Yes,0,United Kingdom,on
w10015293_bnp,hs09g4nwqy,Female,20,"Some College, no degree",Black,Yes,0,United States,on
571a82d06a1c6300094c6a19,1xr498s82g,Female,52,Bachelors degree,White,Yes,0,USA,on
59462a6538e39c0001280168,2jzc7hp65s,Female,38,"Some College, no degree",White,Yes,0,United States,on
5a19ec537542890001aa7f8e,bchrimdzb8,Female,59,Bachelors degree,White,Yes,0,UK,on
5a9a64376219a30001d3455c,s3ko1k9xpx,Female,49,"Some College, no degree",White,Yes,0,England,on
5ae7f99bd5ec5e000175f097,ixnnr9ug1u,Male,24,High School Graduate,White,Yes,0,United States of America,on
5aeabf2c15a9c300011acbc3,5r76q46nay,Female,56,High School Graduate,White,Yes,0,UK,on
5b8aead9bfaebb0001e18e24,dmgjrcq92l,Male,19,"Some College, no degree",White,Yes,0,USA,on
5bf28b48ae1b600001d403dc,qc9thc935m,Female,22,Bachelors degree,White,Yes,0,Canada,on
5c44cd8cf5e3bc00014eb7ba,wo4tv0sweu,Female,52,High School Graduate,White,Yes,0,UK,on
5c48f53437da740001e8974f,4zghf0etce,Female,22,Bachelors degree,White,Yes,0,United Kingdom,on
5c4a28e0b8f0e3000192feda,ui728p6x6x,Male,37,High School Graduate,White,Yes,0,USA,on
5c7cf048cdb6aa001667f664,jnjsl3wjpu,Male,23,"Some College, no degree",White,Yes,0,United Kingdom,on
5c8839294b0de2000135270f,jnjsl3wjpu,Male,23,"Some College, no degree",White,Yes,0,United Kingdom,on
5cbc19c1ff41f900131b8297,jnjsl3wjpu,Male,23,"Some College, no degree",White,Yes,0,United Kingdom,on
5ccdc8af8866b10015fff794,agph8k0wj4,Male,43,"Some College, no degree",White,Yes,0,United kingdom,on
5d41caffac956a00012ae959,4qi4xthsiy,Male,19,High School Graduate,Other/unknown,Yes,0,United Kingdom,on
5d74125de8351c0001f3fb28,1kayjvhg5w,Male,19,Some High School,Other/unknown,Yes,0,England,on
5dcfb1534a113a0c4f2d1b4b,0oue87uyw0,Female,36,"Some College, no degree",White,Yes,0,United Kingdom,on
5dfcdb9debfaeb000df91e5a,0jho8iedmp,Female,19,"Some College, no degree",White,Yes,0,United Kingdom,on
5e12202adc79bd8a6c74499b,0jho8iedmp,Female,19,"Some College, no degree",White,Yes,0,United Kingdom,on
5e3363d98451543389de4bf8,0mgcu4iv0v,Female,31,"Some College, no degree",White,Yes,0,United Kingdom,on
5e6eb94c3ac32e47bd23fa08,sb90sr5xi8,Female,47,"Some College, no degree",Black,Yes,0,United States,on
5e8a99dd28310c73e6e02f21,442p42ri3e,Female,43,"Some College, no degree",White,Yes,0,England,on
5e8f9f9e36e20a295de9ae24,q0fy86qswt,Female,23,Bachelors degree,White,Yes,0,United Kingdom,on
5e948a0f1d2e517dbae5c1ed,02gnxigsbm,Female,19,High School Graduate,White,Yes,0,United Kingdom,on
5e949ca2c09edb04cc9f1f3b,84j1hno6pu,Male,21,"Some College, no degree",Other/unknown,Yes,0,Canada,on
5ea01b9724d981029cad9541,r3msckhepy,Female,19,High School Graduate,White,Yes,0,Canada,on
5eadbecb12e701466371419c,vrymr5z8fe,Female,31,Bachelors degree,White,Yes,0,England,on
5ec8ee3bff90f5000995d1b6,emw3fpdc0c,Female,27,Bachelors degree,White,Yes,0,Canada,on
5ecaf44b2be8f90e15524273,v3bll7aiaz,Male,43,"Some College, no degree",White,Yes,0,Wales,on
5ecbf17c922a5d090b7dbde2,0gndcvz7jp,Female,24,High School Graduate,White,Yes,0,England,on
5ecd74f6c4e70b0df895c03e,f9mp4z59v0,Male,38,High School Graduate,White,Yes,0,"Wales, UK",on
5ee37ccb16ad19000c16585e,482nwmxyjk,Female,21,"Some College, no degree",White,Yes,0,United Kingdom,on
5ee3f8e4f8b4750deab84dc3,syvkaxdl3o,Female,19,"Some College, no degree",White,Yes,0,Canada,on
5ee9c6eb82a6e436011ecc86,yxt5blo5e2,Female,25,"Some College, no degree",Other/unknown,Yes,0,United States,on
5ef9ea32170fdf79d44818dc,ecaktdfhrs,Male,19,"Some College, no degree",Asian/Pacific Islander,Yes,0,New Zealand,on
5f05e24314e7c90bb6b43cc8,rlkkgmrmcs,Female,59,"Some College, no degree",White,Yes,0,Canada,on
w10057323_amw,avh8a47omc,Female,34,Associates degree,White,Yes,0,uk,on
W975110_JEM,qgy8uoim84,Male,57,High School Graduate,White,Yes,0,United Kingdom,on
,,,,,,,,,
,,Mean,32.65,,,,,,
,,SD,15.28969207,,,,,,
