"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Trial.Type","JOL.RT","Response.JOL","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"5aa8ebf089de8200013f8c48",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Small",9084,"15",4156,"shaky",100,100
"5b2c0de67297750001c794ab",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Large",871,"7",2949,"WING",0,0
"5caa2f919f9fb8000185329b",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Small",5707,"5",4856,"Tree",0,0
"5cbb39cb98560b0016678e5b",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Small",6196,"35",3326,"Shaky",100,100
"5d77eb3007e8770001acdef8",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Large",1913,"0",2824,"",0,0
"5e6a6066d2723d016a56e77f",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Large",4871,"15",9244,"SHAKING",66.666666666667,0
"5e86516e2c33ae2829df3983",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Large",4129,"28",39942,"Wobbly",18.181818181818,0
"5e891584cdbaa65a740e076d",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Large",3301,"5",5029,"shake",80,100
"5e928bc7b4f9c10eeee9217b",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Small",3859,"48",5046,"Catcher",16.666666666667,0
"5ea04bf0549a55078a07eb5d",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Large",2028,"10",5977,"rattle",18.181818181818,0
"5ea964a32f7b3304bb975a05",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Large",3987,"30",5930,"ball",22.222222222222,0
"5eb201f369cc97175a5a6490",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Small",1882,"10",3155,"SKIP",44.444444444444,0
"5ebfccc3903b333adb41bbd0",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Large",12580,"25",8367,"",0,0
"5ec4363c0e821a30218c9a67",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Small",4130,"10",13703,"Crazy",40,0
"5efb789be4c8450e986ce093",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Small",3215,"20",1517,"",0,0
"5f140ed5565000448d082e16",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Large",13091,"10",4296,"Shaky",100,100
"5f150c8fd0d9fa5978ccd1e6",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Large",7265,"0",5439,"",0,0
"5f151a1c200b7911969aba6c",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Large",7222,"25",3452,"CAVE",22.222222222222,0
"5f16c30d59ac784a401cb353",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Large",3605,"70",3945,"",0,0
"5f189519b4fb2a0845d3633d",1,"Size U A","BAT","SHAKY","Study1","U","JOL_Small",7274,"15",1386,"",0,0
"5aa8ebf089de8200013f8c48",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Small",5185,"5",2903,"",0,0
"5b2c0de67297750001c794ab",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Small",1066,"6",4078,"YOUNG",60,0
"5caa2f919f9fb8000185329b",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Large",4034,"0",4785,"Other",40,0
"5cbb39cb98560b0016678e5b",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Small",3885,"15",7557,"Things",18.181818181818,0
"5d77eb3007e8770001acdef8",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Large",2418,"20",939,"",0,0
"5d77eb3007e8770001acdef8",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Small",953,"20",3431,"",0,0
"5e6a6066d2723d016a56e77f",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Large",3315,"2",3290,"",0,0
"5e86516e2c33ae2829df3983",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Large",3231,"34",16457,"",0,0
"5e891584cdbaa65a740e076d",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Small",2480,"0",2501,"ounce",100,100
"5e928bc7b4f9c10eeee9217b",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Large",2779,"54",1111,"",0,0
"5ea04bf0549a55078a07eb5d",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Large",1980,"20",7776,"other",40,0
"5ea964a32f7b3304bb975a05",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Large",5527,"30",5618,"pair",0,0
"5eb201f369cc97175a5a6490",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Large",2515,"30",3581,"SAME",22.222222222222,0
"5ebfccc3903b333adb41bbd0",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Large",6577,"0",3511,"",0,0
"5ec4363c0e821a30218c9a67",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Large",3404,"5",2108,"",0,0
"5efb789be4c8450e986ce093",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Small",2359,"20",19646,"",0,0
"5f140ed5565000448d082e16",1,"Size U A","BOTH","OUNCE","Study1","U","JOL_Small",5869,"40",6736,"Ounce",100,100
